CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit
61,vectorized,128,400,central,RBGS,maxIter,validated_but_not_converged,8500,8500,2.77515265520722e-05,2.42671050326715e-05,1.33636720622786e-08,0.000215542666692492,4976.313921,2499.43235294118,0.000399920557594014,0.999529411764706,1,1,0.0538818116584221,0.0651806682393372,0.116777449230734,0.104634807477374,0.09,0.12
62,loop,128,400,central,RBGS,maxIter,validated_but_not_converged,8500,8500,2.77515265520722e-05,2.42671050326715e-05,1.33636720622786e-08,0.000215542666692492,5034.569032,2499.43235294118,0.000399920557594014,0.999529411764706,1,1,0.0538818116584221,0.0651806682393372,0.116777449230734,0.104634807477374,0.09,0.12
63,vectorized,128,400,central,RBSOR,maxIter,validated_but_not_converged,8500,8500,2.77515413114882e-05,2.4267116798149e-05,1.33651816585031e-08,0.000215567014969997,1334.697653,585.088235294118,9.2999271936976e-05,0,1,1,0.0538817994074937,0.0651806476726486,0.116777427621173,0.10463477590456,0.09,0.12
64,loop,128,400,central,RBSOR,maxIter,validated_but_not_converged,8500,8500,2.77515413114882e-05,2.4267116798149e-05,1.33651816585031e-08,0.000215567014969997,1379.366772,585.088235294118,9.2999271936976e-05,0,1,1,0.0538817994074937,0.0651806476726486,0.116777427621173,0.10463477590456,0.09,0.12
65,vectorized,128,1000,upwind,RBGS,maxIter,validated_but_not_converged,10000,10000,3.26203968116501e-05,2.71537864224569e-05,4.48093333793629e-09,7.22729738075745e-05,5898.55417,2499.19,0.000305247594763878,0.9992,1,1,0.129063683669637,0.152239171474054,0.273964461526573,0.236003693034558,0.16,0.18
66,loop,128,1000,upwind,RBGS,maxIter,validated_but_not_converged,10000,10000,3.26203968116501e-05,2.71537864224569e-05,4.48093333793629e-09,7.22729738075745e-05,5929.572305,2499.19,0.000305247594763878,0.9992,1,1,0.129063683669637,0.152239171474054,0.273964461526573,0.236003693034558,0.16,0.18
67,vectorized,128,1000,upwind,RBSOR,maxIter,validated_but_not_converged,10000,10000,3.26203865438635e-05,2.71537916502196e-05,4.48305724440442e-09,7.2307230294999e-05,1402.193441,519.9575,9.36613220346058e-05,0,1,1,0.129063590996917,0.152239027345098,0.273964205043058,0.236003527187686,0.16,0.18
68,loop,128,1000,upwind,RBSOR,maxIter,validated_but_not_converged,10000,10000,3.26203865438635e-05,2.71537916502196e-05,4.48305724440442e-09,7.2307230294999e-05,1450.200514,519.9575,9.36613220346058e-05,0,1,1,0.129063590996917,0.152239027345098,0.273964205043058,0.236003527187686,0.16,0.18
69,vectorized,128,1000,central,RBGS,maxIter,validated_but_not_converged,11500,11500,4.05661101672838e-05,3.41657474696999e-05,1.24171057370258e-08,0.000200275498432489,6770.608895,2499.70869565217,0.000309287535410801,0.999652173913044,1,1,0.110190529903347,0.110900816716268,0.222532865447141,0.186540282102496,0.16,0.18
70,loop,128,1000,central,RBGS,maxIter,validated_but_not_converged,11500,11500,4.05661101672838e-05,3.41657474696999e-05,1.24171057370258e-08,0.000200275498432489,6834.496,2499.70869565217,0.000309287535410801,0.999652173913044,1,1,0.110190529903347,0.110900816716268,0.222532865447141,0.186540282102496,0.16,0.18
71,vectorized,128,1000,central,RBSOR,maxIter,validated_but_not_converged,11500,11500,4.05660766440441e-05,3.41657374758053e-05,1.24170634090451e-08,0.000200274815724488,1638.137836,530.358695652174,9.27573244328731e-05,0,1,1,0.11019042939582,0.110900686509515,0.22253267296416,0.18654011721063,0.16,0.18
72,loop,128,1000,central,RBSOR,maxIter,validated_but_not_converged,11500,11500,4.05660766440441e-05,3.41657374758053e-05,1.24170634090451e-08,0.000200274815724488,1697.050539,530.358695652174,9.27573244328731e-05,0,1,1,0.11019042939582,0.110900686509515,0.22253267296416,0.18654011721063,0.16,0.18
